time,open,high,low,close
1742169600,82633.47,82650.31,82570.04,82570.04
1742169660,82560.19,82656.67,82560.19,82637.19
1742169720,82630.34,82649.84,82573.52,82590.11
1742169780,82596.53,82692.56,82584.48,82684.09
1742169840,82684.08,82684.08,82659.1,82676.14
1742169900,82676.14,82722.63,82656.55,82722.62
1742169960,82721.84,82746.95,82718.66,82729.29
1742170020,82708.42,82759.86,82695.59,82757.24
1742170080,82759.28,82792.22,82759.28,82792.07
1742170140,82795.11,82835.05,82767.75,82767.75
1742170200,82769.28,82848.87,82769.28,82806.52
1742170260,82805,82842.6,82805,82840.72
1742170320,82826.64,82856.88,82791.8,82791.8
1742170380,82784.95,82819.77,82751.3,82784.6
1742170440,82766.77,82786.79,82766.77,82779.21
1742170500,82750.47,82829.27,82717.83,82829.27
1742170560,82833.51,82855.35,82825.14,82828.49
1742170620,82828.85,82828.85,82766.59,82774.02
1742170680,82782.39,82826.17,82774.92,82791.78
1742170740,82781.44,82839.18,82781.44,82826.07
1742170800,82826.07,82862.21,82790.42,82845.92
1742170860,82856.35,82856.35,82793.77,82793.77
1742170920,82798.35,82843.28,82789.47,82806.32
1742170980,82804.05,82828.93,82799.99,82827.65
1742171040,82824.41,82875.22,82817.97,82872.61
1742171100,82859.37,82865.87,82841.69,82865.87
1742171160,82875.13,82875.13,82841.96,82842.38
1742171220,82846.01,82864.61,82837.49,82851.17
1742171280,82874.61,82897.22,82874.61,82897.22
1742171340,82899.49,82925.68,82889.77,82925.67
1742171400,82919.08,82934.86,82884.81,82934.86
1742171460,82931.08,82938.36,82910.86,82915.63
1742171520,82918.02,82955.36,82893.51,82951.24
1742171580,82944.94,83035.03,82925.3,83035.03
1742171640,83031.2,83031.2,82938.19,82938.19
1742171700,82934.84,82950.97,82900.83,82950.97
1742171760,82952.49,83004.58,82952.49,82992.84
1742171820,82984.32,82984.32,82908.57,82909.41
1742171880,82911.05,82911.05,82880.31,82880.31
1742171940,82874.22,82888.11,82833.97,82835.01
1742172000,82831.93,82831.94,82831.93,82831.94
1742172060,82825.47,82869.31,82825.47,82852.51
1742172120,82866.04,82914.15,82857.26,82914.14
1742172180,82902.58,82963.9,82902.58,82963.9
1742172240,82979.71,82982.78,82973.72,82973.72
1742172300,82968.38,83017.66,82968.38,83015.96
1742172360,83007.75,83078.54,82999.27,83067.73
1742172420,83067.73,83090.42,83005.64,83033.2
1742172480,83035.49,83053.39,83035.49,83043.42
1742172540,83058.75,83058.75,83011.64,83031.37
1742172600,83027.54,83068.14,82999.93,83062.11
1742172660,83073.03,83171.43,83063.69,83171.43
1742172720,83179.83,83179.83,83112.79,83116.02
1742172780,83132.44,83148.12,83114.92,83116.45
1742172840,83109.47,83182.3,83088.13,83088.13
1742172900,83096.55,83136.72,83094.85,83121.05
1742172960,83141.91,83174.49,83104.35,83105.88
1742173020,83099.02,83111.37,83063.01,83063.01
1742173080,83070.31,83076.66,83054.52,83076.66
1742173140,83090.04,83090.04,83077.16,83077.16
1742173200,83073.54,83164.47,83073.54,83164.47
1742173260,83157.43,83276.6,83157.43,83219.21
1742173320,83198.15,83218.65,83194.74,83198.56
1742173380,83203.71,83257.51,83163.02,83257.51
1742173440,83246.8,83266.61,83189.17,83199.05
1742173500,83194.33,83194.33,83119.95,83126.88
1742173560,83125.21,83125.21,83089.44,83092.59
1742173620,83071.31,83122.38,83071.31,83122.38
1742173680,83130.96,83131.22,83047.18,83049.37
1742173740,83049.37,83070.94,83028.85,83031.21
1742173800,83039.62,83056.08,82976.09,82976.22
1742173860,82978.22,83015,82978.22,83000.31
1742173920,83001.89,83001.89,82940.33,82961.13
1742173980,82952.98,82952.98,82853.23,82865.28
1742174040,82862.23,82896.96,82845.97,82896.55
1742174100,82892.74,82941.63,82892.74,82928.68
1742174160,82925.64,82925.64,82847.45,82851.7
1742174220,82865.03,82945.8,82865.03,82945.8
1742174280,82942.74,83010.9,82942.74,82965.05
1742174340,82965.06,82996.01,82892.12,82892.12
1742174400,82908.45,82968.18,82905,82922.95
1742174460,82924.02,82969.6,82890.87,82895.52
1742174520,82911.46,82930.74,82861.95,82930.74
1742174580,82939.88,83022.6,82939.88,83003.39
1742174640,82990.37,83035.05,82990.37,83035.05
1742174700,83031.22,83036.75,83002.25,83002.25
1742174760,83033.17,83046.91,83009.86,83046.91
1742174820,83021.9,83024.62,82995.51,82995.51
1742174880,82984.07,82990.09,82955.52,82963.01
1742174940,82972.61,83018.06,82972.61,82978.85
1742175000,82965.9,83044.91,82965.9,83044.91
1742175060,83045.66,83045.66,83002.44,83035.21
1742175120,83035.21,83063.01,83026.26,83052.83
1742175180,83057.27,83111.44,83057.27,83091.41
1742175240,83106.28,83146.16,83106.28,83146.16
1742175300,83133.54,83217.33,83133.54,83199.57
1742175360,83185.66,83249.99,83182.09,83184.4
1742175420,83209.36,83209.36,83142.29,83170.14
1742175480,83176.25,83212.61,83152.47,83200.45
1742175540,83195.1,83199.59,83177.18,83177.2
1742175600,83183.33,83202.85,83147.57,83200.93
1742175660,83199.03,83267.28,83199.03,83235.39
1742175720,83244.56,83283.88,83221.18,83263.94
1742175780,83259.34,83259.63,83224.14,83259.62
1742175840,83246.59,83246.59,83210.41,83216.11
1742175900,83220.4,83321.96,83220.4,83314.81
1742175960,83306.78,83426.59,83306.78,83412.46
1742176020,83364.89,83384.22,83330.38,83330.38
